news_content,news_source,news_time,news_title
" 本报讯 （记者 张静雯）3月7日，全市“扫黄打非”工作会议召开，贯彻落实国家、省两级“扫黄打非”工作电视电话会议和全市宣传部长会议精神，对2019年“扫黄打非”工作进行安排部署。市委常委、宣传部长，市“扫黄打非”领导小组组长王韶华出席会议并... ...

								",,2019.03.08,全市“扫黄打非”工作会议召开
" 本报记者 戴丽丽 
 
 春雷响，万物长，惊蛰前后，正定县平安村青益农业园区1200多亩的土地上生机勃勃。近期，十几个品种的海棠花、榆叶梅即将破蕾绽放，正值销售好时节，园区负责人张瑞方的心情比花还急，一大早到园区里跟着工人们给树木涂白抹红“... ...

								",,2019.03.07,广搭平台共筑梦想---——我市妇联组织服务省会发展纪实
" 光明“守护者” 
 一口故障电缆井前，市城市照明管理处桥西维护所的王会杰正趴在地上，使劲将胳膊伸到井内。这口井太深，井口又小，他只能这样抢修。 
 等他排除完故障，双手已被划破了许多血口。他却毫不在意，忙着赶去下一个抢修点。为了尽快恢复亮灯... ...

								",,2019.03.07,光明“守护者”
" 本报记者 岳金宏 
 通讯员 纵兆磊 刘 欣  
 
 三月微风拂面，初春的气息悄然来临，春暖花开,被严寒堵在屋子里一冬天的心开始蠢蠢欲动,正是踏春好时节。近日，栾城区第十七届草莓采摘节正式启幕，不少市民来到栾城各个采摘园区，踏春寻“莓”，... ...

								",,2019.03.07,无土栽培草莓红又甜---——栾城采摘经济走向生态高端
" ...纯锴、宋学恭，秘书长赵磊出席会议。 
 会议传达学习了全国“两会”精神，审议通过了政协",,2019.03.21,市政协召开十三届 二十三次主席会议---决定3月29日召开市政协十三届十二次常委会议
" （上接第一版） 
 
 家庭“选美” 内外兼修 
 
 相亲相爱的郭俊伏、张贵平家庭，自立自强的王兰乔、刘聚群家庭，教子有方的王丽、高会青家庭，热心公益的李娇娇、李文纲家庭，孝老敬亲的杜喜珍、卢志芳家庭，文化传承的栾瑞花、马建利家庭……一个... ...

								",,2019.03.07,广搭平台共筑梦想---——我市妇联组织服务省会发展纪实
" 本报讯 （首席记者 靳晓磊）3月6日，由生态环境部副部长赵英民带队的督查组，对我市开展了大气污染防治强化监督检查。当天上午，市政府召开汇报会，就督查工作进行对接，并汇报我市大气污染防治工作。 
 会上，赵英民向我市反馈了前期督查中发现的问题... ...

								",,2019.03.07,生态环境部对我市进行大气污染防治强化督查
" 本报讯 （首席记者 范玉蕾）从石药集团传来喜讯，该集团已于3月5日发布公告称，成功用于治疗高血压的马来酸左旋氨氯地平片向美国FDA提交新药上市申请。据悉，此为中国医药企业首次向美国FDA提交新药上市申请。 
 石药集团马来酸左旋氨氯地平片（... ...

								",,2019.03.07,石药向美国提交新药上市申请---系中国药企首次
" 3月6日，栾城区天亮合作社的种植户正在为麦田浇水。目前正值春耕时节，栾城区天亮合作社的种植户抓住大好时机，积极开展施肥、浇水等小麦管理，确保今年小麦实现丰收。 本报首席记者 张震 通讯员 李明发 摄 ...

								",,2019.03.07,春耕农正忙
" 本报讯 （首席记者 靳晓磊）今年，我市将通过提档升级精品街道、提升改造水系景观、持续完善公园体系等，实现城区新建提升绿地800万平方米、新增乔木100万株的目标。这是3月6日记者从我市2019园林绿化工作会上了解到的。 
 在今年城区园林绿... ...

								",,2019.03.07,今年城区将新建提升绿地800万平方米
